Plot_Min_Witdh,Plot_Count,Build_Min_Depth,Build_Max_Depth,Build_Min_Heigth,Build_Max_Heigth,Building_Volume,Building_Area,Green_Area,Average_FAR,Average_Build_Heigth,Gross_area,Radiation_Min,Radiation_Total,Green_Comfort,Energy_Balance
23.5739171056,12,18.9630265042,86.3275736902,33.470644502,71.3321226616,833113.29,16991.3175074036,4319.6160091786,41.0197702701,50.0233159415,833113.29,7.25,8016.5,0.2604,-3938131.00
23.610217702,12,18.9821318081,86.5086922614,33.6071133022,71.7962153671,912355.43,18375.7012394421,2935.2322771402,46.6436791705,50.3030187389,912355.43,6.75,8693.5,0.1417,-4433756.48
23.6487680243,12,19.0174634055,86.9240742834,33.8210166393,72.4400808828,842111.13,16982.2554760938,4328.6780404884,42.6174926873,50.7048973749,842111.13,6.75,7908.25,0.1799,-4080528.76
23.7104503456,12,19.0469587945,87.2757356714,34.0024242877,72.994777817,783483.70,15705.1115323474,5605.8219842348,39.8506592393,51.0495034826,783483.70,6.75,7421,0.2598,-3846020.18
23.8044274717,12,19.0700898679,87.5681306142,34.1518838672,73.439294865,896023.64,17691.0995368435,3619.8339797387,45.7418905355,51.3279593287,896023.64,6.75,8359.5,0.2270,-4537734.00
23.9392145262,12,19.0869472619,87.76942809,34.2550658071,73.7783663233,966238.95,19011.1022659567,2299.8312506256,48.7864024823,51.5342698807,966238.95,6.75,8891.75,0.1047,-4927504.59
24.1219065424,12,19.0987954648,87.9254904479,34.3324737352,74.0256408499,992091.02,19963.8856009866,1347.0479155956,48.7637444388,51.6859418399,992091.02,6.75,9360,0.1312,-4829851.70
24.3565121247,12,19.108106094,88.0389888301,34.387266692,74.2336833581,946642.49,18493.1524230273,2817.7810935549,47.8026994235,51.8077340158,946642.49,6.75,8714.5,0.1339,-4896129.78
24.6459203398,12,19.1188200379,88.1912544285,34.4575696371,74.463342332,925966.20,18289.0085544682,3021.924962114,45.6337953769,51.9477058729,925966.20,7,8641.5,0.2469,-4686777.97
24.9907437739,12,19.1354265832,88.4101915211,34.5589045724,74.8016678211,997271.44,19855.9573198635,1454.9761967188,49.5887083273,52.1526507823,997271.44,6.5,9141.5,0.1735,-4965361.73
25.3940574328,12,19.1630169703,88.7941718544,34.7372375153,75.3279298329,981820.20,19354.5634448445,1956.3700717377,48.7107379159,52.4830949433,981820.20,6.5,9129,0.1789,-4988134.31
25.8591948877,12,19.2066925401,89.3805360027,35.0119316806,76.1371335565,954477.20,18541.2169703097,2769.7165462726,46.838822796,52.991471509,954477.20,6.75,8703,0.2105,-4992083.12
26.3944908288,12,19.2719693156,90.269100258,35.4290602226,77.315201374,911923.41,17629.87304614,3681.0604704423,45.8766095299,53.7412753301,911923.41,6.5,8290.5,0.1884,-4812743.81
27.0081530257,12,19.3642865882,91.5127157426,36.0140231877,78.9576474909,956634.42,17779.0225314124,3531.9109851698,49.6901103627,54.788559684,956634.42,6.25,8289.5,0.1375,-5419334.72
27.7025962938,12,19.487518078,93.1593285909,36.7889276633,81.1274614188,1079001.65,19961.8676210441,1349.0658955381,53.4882572233,56.1733050579,1079001.65,1.75,9252.75,0.1193,-6160467.83
28.4296353074,12,19.6332186294,95.102195992,37.7026517424,83.671799337,938643.90,15788.9368357617,5521.9966808206,46.5033213135,57.850913855,938643.90,5.75,7046.5,0.2338,-6175595.14
28.8570885791,12,19.7212644692,96.2744759767,38.2542389561,85.208082271,1053047.97,18109.2582150561,3201.6753015262,50.3213385559,58.8340928756,1053047.97,3,8047,0.2287,-6723060.54
28.5073904673,12,19.6209202819,94.9275262296,37.6258507427,83.506757919,1015642.47,17904.8848732529,3406.0486433293,46.8186639269,57.7354371093,1015642.47,3,7974.5,0.2837,-6256787.68
27.9065080692,12,19.4478143928,92.5969129063,36.5397864064,80.5777747158,1021270.47,18915.5739708455,2395.3595457368,50.736626648,55.7927682437,1021270.47,6.25,8829.25,0.2262,-5820056.45
27.3643433903,12,19.2802049066,90.3009188102,35.4744584083,77.773298604,989871.96,19108.5936978181,2202.3398187641,50.4336011004,53.9671015396,989871.96,2.25,8826.25,0.0769,-5239575.03
26.9104280907,12,19.1284922875,88.1893585024,34.4995853277,75.2706879029,970338.26,19490.3394390442,1820.594077538,47.8642680571,52.3243163724,970338.26,6.5,9163.5,0.2599,-4741798.03
26.5306968766,12,18.9912122794,86.2527553047,33.6103482028,73.0470756095,886291.94,17875.664650261,3435.2688663212,43.7841339494,50.8517033517,886291.94,6.75,8586.5,0.2894,-4293645.45
26.2091546682,12,18.8655152755,84.4672645762,32.7952505015,71.056613991,909468.89,18883.7292379445,2427.2042786378,45.7868756209,49.522747933,909468.89,6.75,8963,0.1568,-4126024.76
25.9328833594,12,18.7489704947,82.8105334949,32.0436472736,69.2585490248,885735.07,18996.7413699382,2314.1921466441,44.3934903327,48.3136417715,885735.07,6.75,8903,0.1400,-3703299.27
25.688564735,12,18.6405103696,81.1740868865,31.3068092124,67.6561234546,820910.95,18218.7742252092,3092.1592913731,39.4247805528,47.1983772374,820910.95,3.75,8770,0.1995,-3115157.44
25.477170767,12,18.5382736716,79.7168618273,30.6538957313,66.163496735,789295.71,17720.1324302051,3590.8010863771,39.836213812,46.1783492638,789295.71,7,8319.25,0.2323,-2890173.35
25.2881265169,12,18.441546146,78.3468749837,30.0419643016,64.7900640807,950645.90,20128.106364441,1182.8271521412,43.6808635434,45.1949488666,950645.90,0,9565.25,0.0664,-4109769.66
25.1198628198,12,18.3500027819,77.0549038822,29.4696333186,63.5205508417,672277.86,15487.093746715,5823.8397698672,33.9079738665,44.318589979,672277.86,5,7152.5,0.2661,-2257680.60
24.9660419738,12,18.2637613489,75.834491591,28.9332988675,62.3450154965,756446.45,16716.6024150045,4594.3311015778,35.3969485209,43.5035121911,756446.45,5,8043,0.2283,-2907033.31
24.8272231415,12,18.1789351611,74.6817597044,28.4258247916,61.2508466079,846995.53,18895.0198572792,2415.9136593031,38.5903329611,42.7401916804,846995.53,4,9098,0.1464,-3163921.71
24.6992716226,12,18.0989693639,73.5888064608,27.9512935347,60.2321692186,855534.17,19688.8192560203,1622.1142605619,39.1525785752,42.028368658,855534.17,6.5,9575,0.2600,-2882466.10
24.5797171126,12,18.0221820734,72.5539997358,27.4974504929,59.2854781915,872316.95,20219.123450755,1091.8100658273,38.7358646782,41.3596039957,872316.95,5.5,9842.25,0.2091,-2864596.40
24.4692616001,12,17.9481312648,71.5715362779,27.0726528074,58.3998276632,846265.59,19929.8647251438,1381.0687914385,38.1991545031,40.733837162,846265.59,6.5,9778,0.2613,-2616748.13
24.3658704285,12,17.8758160899,70.6441914953,26.6715249233,57.5660869845,738939.43,18057.0976975863,3253.8358189959,34.5143773066,40.144055077,738939.43,7,8876.25,0.2281,-1944370.55
24.2743623957,12,17.8073046862,69.7576904229,26.2960931166,56.7970448434,792061.23,19526.02540822,1784.9081083622,36.9267410053,39.5969772994,792061.23,2.25,9306.75,0.1570,-1996838.43
24.1788955357,12,17.7502531915,68.9252137367,25.9368119642,56.0753507956,797275.43,19581.0732361922,1729.8602803901,36.0795001807,39.0796547851,797275.43,6.75,9601.75,0.2597,-2047861.63
24.0916663002,12,17.6862472306,68.1322406395,25.5971736014,55.3966207828,800925.24,19825.8661062205,1485.0674103618,35.3201590041,38.5921450115,800925.24,1.5,9724.25,0.1365,-1976041.01
24.0182435609,12,17.6288213957,67.3892045234,25.2834454962,54.7706745538,676591.07,16963.5930342159,4347.3404823664,30.8612103312,38.1422645284,676591.07,7,8218,0.2733,-1558053.37
23.9356411621,12,17.573403559,66.6754546033,24.9796480943,54.1840056961,709602.54,18356.3590881099,2954.5744284723,33.8260762375,37.7151122718,709602.54,3,8813,0.1462,-1340943.45
23.4795818731,12,18.8815782383,86.6276433623,33.2541589301,69.3823442724,813802.62,16947.2955184447,4363.6379981376,41.1509119415,49.0490515424,813802.62,7,7940,0.1761,-3665662.00
23.4896340904,12,18.9064597188,86.6461321263,33.3205800956,69.7642872469,755466.08,15683.2483903474,5627.6851262349,38.3806527202,49.2534157859,755466.08,6.75,7452,0.2592,-3428954.03
23.4909483011,12,18.9265417033,86.6557792584,33.3879188118,70.152943991,863325.74,17681.4163579894,3629.5171585929,44.0283667458,49.4612316309,863325.74,6.75,8391.25,0.2247,-4042443.76
23.4860620044,12,18.9445291168,86.6316304044,33.4440110429,70.5563577703,930606.25,18986.9130545238,2324.0204620584,46.9657711947,49.669169478,930606.25,6.75,8934.25,0.1039,-4395364.27
23.457930147,12,18.9387676964,86.2438623715,33.3444373336,70.6816713574,953641.32,19952.7480008397,1358.1855157426,46.8363006569,49.6679143159,953641.32,6.75,9407.5,0.1313,-4246575.44
23.4458525428,12,18.9498173896,86.2082075802,33.3971845663,71.0501396159,909825.65,18461.4677241467,2849.4657924355,45.9274996643,49.8586917223,909825.65,6.75,8750.5,0.1323,-4349515.13
23.4536251137,12,18.9779856997,86.4746286574,33.5787810975,71.6645083878,894955.68,18271.0161708186,3039.9173457637,44.0857798339,50.2294920843,894955.68,7.25,8692,0.2258,-4221805.22
23.4538494819,12,19.0233878131,87.0094959252,33.8542803393,72.4802573764,968462.54,19803.918932756,1507.0145838263,48.1606997853,50.7411832813,968462.54,6.75,9190.75,0.1709,-4551698.43
23.4678797713,12,19.0638572375,87.5102226008,34.1114350468,73.2205075763,957304.81,19331.9199991978,1979.0135173845,47.4808116878,51.2095426577,957304.81,6.75,9167,0.1898,-4625022.67
23.505462309,12,19.0975008688,87.9145751798,34.3206118173,73.8524069763,929706.70,18538.4871674359,2772.4463491464,45.5986347296,51.6035296664,929706.70,6.75,8737.5,0.2032,-4614058.25
23.5785727391,12,19.1224734689,88.2283928821,34.481884556,74.3301525132,881071.53,17625.1087933085,3685.8247232738,44.2988694231,51.9031612464,881071.53,6.75,8327.5,0.1946,-4343973.60
23.6986464853,12,19.1377137936,88.4081507769,34.574981365,74.639759924,909495.07,17770.5204040986,3540.4131124837,47.2156471158,52.0909143929,909495.07,6.75,8346,0.1350,-4703112.22
23.8745333436,12,19.1440957554,88.4932654764,34.6173984664,74.7896814305,1002591.66,19947.9055963403,1363.027920242,49.655607526,52.1803313787,1002591.66,2.5,9357.5,0.1065,-4998785.74
24.109724732,12,19.1446129349,88.4934343998,34.6159138525,74.8417320886,825616.62,15782.4667002553,5528.4668163269,43.2344116009,52.202251867,825616.62,7,7281,0.2069,-4450049.26
24.4039604664,12,19.1442299963,88.5024791249,34.6152064556,74.8759301762,916447.39,18102.1747013427,3208.7588152395,46.4095109251,52.2168048098,916447.39,6.75,8532,0.1783,-4636752.63
24.7535009842,12,19.1484093236,88.5587223424,34.636410942,74.9972674684,892662.40,17894.0200465115,3416.9134700707,44.3345944191,52.2817863888,892662.40,6.5,8449.75,0.1840,-4382050.01
25.1561871865,12,19.1626455437,88.7690447585,34.7298561057,75.2916435461,960469.38,18904.5895091845,2406.3440073977,47.6802582346,52.4630766014,960469.38,6.5,8895.75,0.2272,-4895510.80
25.6091340728,12,19.1915656764,89.1589517999,34.9098063726,75.8471973419,968735.44,19102.1870367194,2208.7464798628,49.3381985251,52.8072370922,968735.44,2.25,8854.5,0.0768,-4918536.24
26.1118120739,12,19.2389594256,89.8136028125,35.2152282709,76.7178486384,988945.20,19476.0346060575,1834.8989105247,48.7864237602,53.3597718073,988945.20,6.5,9154,0.2772,-5033793.66
26.6557256999,12,19.306318538,90.7200374097,35.6411345686,77.9345042523,942177.02,17854.3288761522,3456.6046404301,46.5676152192,54.1313860451,942177.02,6.25,8544.25,0.2869,-5159975.91
27.2141478675,12,19.3897523179,91.8478606215,36.171881756,79.4201182232,1010284.33,18866.4553176145,2444.4781989677,50.905046736,55.0795917392,1010284.33,6.25,8878.25,0.1580,-5677219.56
27.7004662,12,19.4700700616,92.9204679814,36.6777421431,80.8453380275,1026206.99,19011.6167919663,2299.316724616,51.4740877376,55.9873871565,1026206.99,6,8880.5,0.1422,-5845237.86
27.9386351262,12,19.50204752,93.3442418571,36.8795268982,81.4294482926,1044709.18,18228.4826791036,3082.4508374786,46.5609446846,56.4057426389,1044709.18,3.5,8276.25,0.2515,-6534264.58
27.8139814886,12,19.4484215323,92.6155722151,36.5421462518,80.5437375585,953458.89,17740.7018562508,3570.2316603314,48.165765253,55.7792156721,953458.89,6.25,8160.75,0.2332,-5391770.16
27.4666341057,12,19.334741321,91.0537087712,35.8175514188,78.6464716403,1066654.06,20137.1009536405,1173.8325629418,53.0458175583,54.5419404018,1066654.06,6.25,9271,0.0784,-5881436.87
27.0708603152,12,19.2020137911,89.2091503946,34.964420904,76.4476437721,812734.32,15502.071671514,5808.8618450683,43.5210738092,53.1004840416,812734.32,6.5,6931.5,0.2107,-4398036.05
26.698942597,12,19.0696035623,87.3407471022,34.1043065285,74.2840192028,848831.15,16731.6637844916,4579.2697320906,43.0093530044,51.6704876381,848831.15,6.75,7867.25,0.2273,-4312945.49
26.36842428,12,18.9434019451,85.5400582583,33.2797998016,72.2589586321,926008.61,18900.645507686,2410.2880088962,45.9405786317,50.321110402,926008.61,6.75,8834,0.1396,-4369705.37
26.0747372986,12,18.8248354772,83.7507198343,32.4671446289,70.4164790356,934306.71,19699.6094558768,1611.3240607054,46.1590323578,49.0582259684,934306.71,6.25,9281.75,0.2117,-4082512.46
25.8201509431,12,18.7131799129,82.1274192974,31.7322289394,68.7056401356,929217.52,20230.6221420374,1080.3113745449,44.7566205557,47.8966461063,929217.52,7,9595,0.1962,-3729205.48
25.5955756004,12,18.6077117058,80.5974048728,31.0440138974,67.1307148733,901420.60,19944.1034873024,1366.8300292798,44.0388179779,46.8207699467,901420.60,6.25,9455.75,0.1964,-3452396.75
25.3954322102,12,18.5070730349,79.1535962163,30.398928354,65.6778052238,793045.72,18066.6202827818,3244.3132338005,39.9322002565,45.8225115305,793045.72,6.75,8666,0.1702,-2767164.05
25.2173895638,12,18.4130665946,77.7907644341,29.7930393774,64.3317598883,898311.48,19548.1195605943,1762.813955988,41.866790351,44.854717631,898311.48,1.75,9233,0.1668,-3610244.82
25.0545837661,12,18.3230078394,76.5021214441,29.2225090106,63.0847670998,899863.57,19625.6974753912,1685.236041191,40.6948536177,43.9891948847,899863.57,6.5,9661,0.3027,-3594508.43
24.9058901259,12,18.2372697006,75.1358211168,28.6231976144,62.0013659717,897297.95,19853.1791410204,1457.7543755619,39.5895780427,43.1787811756,897297.95,1,9641.75,0.1389,-3436801.93
24.7706997397,12,18.1577272763,73.9760307309,28.1146511035,60.9281449059,755162.80,17014.3346113846,4296.5989051977,34.4245909444,42.423990845,755162.80,6.5,8170.75,0.2824,-2734328.94
24.6480442309,12,18.0794896274,72.8803595572,27.6391475452,59.9279486808,786698.39,18387.7525765404,2923.1809400419,37.4730099525,41.7196788071,786698.39,2.25,8874.5,0.1475,-2504299.06
24.5348278219,12,18.0038056153,71.8387823264,27.1847496483,58.9943540743,705121.79,17003.7570461149,4307.1764704673,32.9998802242,41.056312351,705121.79,6.5,8145.75,0.2264,-1973282.35
24.4307137294,12,17.9335916274,70.8506649465,26.7585314729,58.125276591,650981.27,15725.2841976078,5585.6493189745,30.7122557901,40.4369716654,650981.27,6.5,7692.5,0.2762,-1808312.67
24.334304142,12,17.8653572409,69.9203329145,26.3612255081,57.3175214033,717382.13,17703.1687509719,3607.7647656104,34.1718896793,39.8606766111,717382.13,0,8511.75,0.2574,-1798897.32
24.241837827,12,17.7996295344,69.0346227896,25.9823181232,56.5594718467,780117.40,19024.1016331534,2286.8318834289,36.5214446716,39.3164325455,780117.40,0.25,9144.75,0.0957,-2073435.71
24.1537121609,12,17.7347456104,68.1992782801,25.6239426427,55.8486117118,812780.39,19974.3322207302,1336.601295852,36.924639102,38.8043452201,812780.39,0,9627.75,0.1189,-2081146.18
24.070577243,12,17.6779687836,67.4057964176,25.2840779423,55.1935717116,744304.97,18511.431948197,2799.5015683853,34.7910313113,38.3270385737,744304.97,3.75,9053.25,0.1252,-1791463.68
24.000853786,12,17.6142736708,66.8225806664,25.0385434578,54.4554779034,714559.48,18305.4590320821,3005.4744845002,32.529215296,37.8667083485,714559.48,4,8869.5,0.2708,-1443830.04
23.9217153503,12,17.5512753793,66.1161161136,24.7408062456,53.880817393,768016.47,19882.6719018413,1428.261614741,35.3786019304,37.4482101597,768016.47,3,9425.25,0.1885,-1443222.89
23.4088719524,12,18.8782483732,86.4709931243,33.1747150312,69.2334739863,917775.47,19370.8786089082,1940.054907674,45.4459525545,48.9392550997,917775.47,7,9216.5,0.1822,-4000476.53
23.4250487043,12,18.8817147002,86.1885011588,33.1411581633,69.4412559518,884779.73,18558.9709112835,2751.9626052988,43.3390064934,49.0112092316,884779.73,6.75,8795,0.1924,-3916469.48
23.4156406508,12,18.9050106835,86.2286641364,33.2260460339,69.8785566752,838086.51,17650.4167717397,3660.5167448426,42.07264016,49.2501685871,838086.51,6.75,8374.25,0.1894,-3672953.95
23.3985274757,12,18.925389479,86.2444774445,33.3032176568,70.3422560158,865867.76,17802.0660138913,3508.867502691,44.8802807339,49.4963263834,865867.76,6.75,8395.75,0.1342,-4019678.98
23.3733629777,12,18.9440064046,86.2584048485,33.3825977995,70.8148778453,958684.06,19991.2290780358,1319.7044385464,47.4069611827,49.7476279817,958684.06,2.75,9407.5,0.1033,-4304656.85
23.342852751,12,18.9590906056,86.2854671508,33.4686095598,71.2797678378,792537.94,15819.4096253707,5491.5238912116,41.4791025296,49.9992816345,792537.94,7,7311,0.2014,-3924468.05
